Nuclide ; Ac-225 
Element ; Actinium
Z ; 89
Daughter(s) ; (alpha) ; Fr-221 ; 100
Qalpha ; 5935.1
Possible parent(s) ; (B-) ; Ra-225 ; 100
Half-life (d) ; 9.9172 ; 0.0021
Half-life (s) ; 856.85E3 ; 0.18E3
Decay constant (1/s) ; 808.95E-9 ; 0.17E-9
Specific activity (Bq/g) ; 2.16517E15 ; 0.00046E15
Reference ; LNHB; CNDC - 2023
Emissions (194 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
592.004 ; 0.026 ; 0.00083 ; 0.00014 ; g ; Fr-221 ; 36 ; 3 ; 
593.904 ; 0.025 ; 0.0029 ; 0.0003 ; g ; Fr-221 ; 36 ; 2 ; 
600.939 ; 0.030 ; 0.0024 ; 0.0005 ; g ; Fr-221 ; 35 ; 0 ; 
600.953 ; 0.032 ; 0.006 ;  ; g ; Fr-221 ; 37 ; 2 ; 
603.074 ; 0.036 ; 0.00173 ; 0.00021 ; g ; Fr-221 ; 41 ; 8 ; 
629.26 ; 0.06 ; 0.00032 ; 0.00007 ; g ; Fr-221 ; 43 ; 9 ; 
637.599 ; 0.030 ; 0.00012 ;  ; g ; Fr-221 ; 37 ; 0 ; 
645.94 ; 0.12 ; 0.00015 ; 0.00005 ; g ; Fr-221 ; 38 ; 0 ; 
649.077 ; 0.034 ; 0.0017 ; 0.0005 ; g ; Fr-221 ; 41 ; 5 ; 
656.29 ; 0.07 ; 0.00049 ; 0.00021 ; g ; Fr-221 ; 47 ; 10 ; 
658.03 ; 0.05 ; 0.0014 ; 0.0003 ; g ; Fr-221 ; 42 ; 7 ; 
666.84 ; 0.05 ; 0.0021 ; 0.0018 ; g ; Fr-221 ; 42 ; 4 ; 
674.94 ; 0.30 ; 0.00010 ; 0.00005 ; g ; Fr-221 ; 46 ; 9 ; 
679.53 ; 0.07 ; 0.00066 ; 0.00012 ; g ; Fr-221 ; 39 ; 0 ; 
702.02 ; 0.07 ; 0.00016 ; 0.00007 ; g ; Fr-221 ; 47 ; 9 ; 
747.0 ; 0.1 ; 0.0011 ; 0.0004 ; g ; Fr-221 ; 48 ; 10 ; 
752.48 ; 0.07 ; 0.00026 ; 0.00007 ; g ; Fr-221 ; 47 ; 4 ; 
753.46 ; 0.06 ; 0.00023 ; 0.00007 ; g ; Fr-221 ; 43 ; 1 ; 
766.44 ; 0.05 ; 0.00030 ; 0.00006 ; g ; Fr-221 ; 42 ; 0 ; 
779.32 ; 0.06 ; 0.000055 ; 0.000014 ; g ; Fr-221 ; 43 ; 0 ; 
808.48 ; 0.10 ; 0.0021 ; 0.0003 ; g ; Fr-221 ; 44 ; 0 ; 
825.0 ; 0.3 ; 0.000049 ;  ; g ; Fr-221 ; 46 ; 0 ; 
4903.6 ; 1.4 ; 0.0011 ; 0.0004 ; a ; Ac-225 ; 0 ; 48 ; 
4992.7 ; 1.4 ; 0.0013 ; 0.0003 ; a ; Ac-225 ; 0 ; 47 ; 
5019.3 ; 1.4 ; 0.00015 ; 0.00005 ; a ; Ac-225 ; 0 ; 46 ; 
5025.5 ; 1.4 ; 0.00083 ; 0.00021 ; a ; Ac-225 ; 0 ; 45 ; 
5035.5 ; 1.4 ; 0.0021 ; 0.0003 ; a ; Ac-225 ; 0 ; 44 ; 
5064.1 ; 1.4 ; 0.00114 ; 0.00018 ; a ; Ac-225 ; 0 ; 43 ; 
5076.8 ; 1.4 ; 0.0038 ; 0.0019 ; a ; Ac-225 ; 0 ; 42 ; 
5094.1 ; 1.4 ; 0.015 ; 0.007 ; a ; Ac-225 ; 0 ; 41 ; 
5129.0 ; 1.4 ; 0.0058 ; 0.0008 ; a ; Ac-225 ; 0 ; 40 ; 
5162.1 ; 1.4 ; 0.00066 ; 0.00012 ; a ; Ac-225 ; 0 ; 39 ; 
5195.1 ; 1.4 ; 0.00015 ; 0.00005 ; a ; Ac-225 ; 0 ; 38 ; 
5203.3 ; 1.4 ; 0.0101 ; 0.0010 ; a ; Ac-225 ; 0 ; 37 ; 
5210.2 ; 1.4 ; 0.022 ; 0.001 ; a ; Ac-225 ; 0 ; 36 ; 
5239.3 ; 1.4 ; 0.0026 ; 0.0005 ; a ; Ac-225 ; 0 ; 35 ; 
5269.1 ; 1.4 ; 0.048 ; 0.019 ; a ; Ac-225 ; 0 ; 34 ; 
5287.6 ; 1.4 ; 0.214 ; 0.010 ; a ; Ac-225 ; 0 ; 33 ; 
5321.2 ; 1.4 ; 0.007 ; 0.007 ; a ; Ac-225 ; 0 ; 32 ; 
5341.9 ; 1.4 ; 0.0027 ; 0.0008 ; a ; Ac-225 ; 0 ; 31 ; 
5356.2 ; 1.4 ; 0.000097 ; 0.000002 ; a ; Ac-225 ; 0 ; 30 ; 
5379.0 ; 1.4 ; 0.0020 ; 0.0005 ; a ; Ac-225 ; 0 ; 29 ; 
5391.2 ; 1.4 ; 0.0006 ; 0.0004 ; a ; Ac-225 ; 0 ; 28 ; 
5414.5 ; 1.4 ; 0.0030 ; 0.0004 ; a ; Ac-225 ; 0 ; 27 ; 
5428.3 ; 1.4 ; 0.0023 ; 0.0003 ; a ; Ac-225 ; 0 ; 26 ; 
5430.1 ; 1.4 ; 0.0028 ; 0.0008 ; a ; Ac-225 ; 0 ; 25 ; 
5435.8 ; 1.4 ; 0.0083 ; 0.0006 ; a ; Ac-225 ; 0 ; 24 ; 
5443.3 ; 1.4 ; 0.098 ; 0.019 ; a ; Ac-225 ; 0 ; 23 ; 
5468.4 ; 1.4 ; 0.00052 ; 0.00018 ; a ; Ac-225 ; 0 ; 22 ; 
5487.4 ; 1.4 ; 0.0020 ; 0.0003 ; a ; Ac-225 ; 0 ; 21 ; 
5497.4 ; 1.4 ; 0.0022 ; 0.0007 ; a ; Ac-225 ; 0 ; 20 ; 
5515.2 ; 1.4 ; 0.0052 ; 0.0019 ; a ; Ac-225 ; 0 ; 19 ; 
5523.7 ; 1.4 ; 0.013 ; 0.006 ; a ; Ac-225 ; 0 ; 18 ; 
5540.1 ; 1.4 ; 0.0072 ; 0.0008 ; a ; Ac-225 ; 0 ; 17 ; 
5546.5 ; 1.4 ; 0.055 ; 0.012 ; a ; Ac-225 ; 0 ; 16 ; 
5555.3 ; 1.4 ; 0.084 ; 0.010 ; a ; Ac-225 ; 0 ; 15 ; 
5563.3 ; 1.4 ; 0.017 ; 0.007 ; a ; Ac-225 ; 0 ; 14 ; 
5580.5 ; 1.4 ; 0.95 ; 0.04 ; a ; Ac-225 ; 0 ; 13 ; 
5599.3 ; 1.4 ; 0.114 ; 0.007 ; a ; Ac-225 ; 0 ; 12 ; 
5609.0 ; 1.4 ; 1.09 ; 0.05 ; a ; Ac-225 ; 0 ; 11 ; 
5637.3 ; 1.4 ; 4.16 ; 0.23 ; a ; Ac-225 ; 0 ; 10 ; 
5682.2 ; 1.4 ; 1.31 ; 0.04 ; a ; Ac-225 ; 0 ; 9 ; 
5686.4 ; 1.4 ; 0.021 ; 0.014 ; a ; Ac-225 ; 0 ; 8 ; 
5723.1 ; 1.4 ; 2.03 ; 0.23 ; a ; Ac-225 ; 0 ; 7 ; 
5730.5 ; 1.4 ; 1.6 ; 0.3 ; a ; Ac-225 ; 0 ; 6 ; 
5731.6 ; 1.4 ; 1.24 ; 0.10 ; a ; Ac-225 ; 0 ; 5 ; 
5731.9 ; 1.7 ; 9.0 ; 0.5 ; a ; Ac-225 ; 0 ; 4 ; 
5791.7 ; 1.4 ; 6.2 ; 0.9 ; a ; Ac-225 ; 0 ; 3 ; 
5793.1 ; 2.1 ; 18.9 ; 2.0 ; a ; Ac-225 ; 0 ; 2 ; 
5804.2 ; 1.4 ; 0.3 ;  ; a ; Ac-225 ; 0 ; 1 ; 
5829.6 ; 1.4 ; 52.4 ; 2.4 ; a ; Ac-225 ; 0 ; 0 ; 
==================================================================================================================
